739,VALDEMIRA EMILIA PINTO,57,1,4,,,,,,,,,,,,,,-7.242.151.005.193.590,-35.879.685.021.936.800
740,VALDEMIRA EMILIA PINTO,20,1,4,,,,,,,,,,,,,,-7.242.128.038.778.900,-35.879.564.993.083.400
741,VALDEMIRA EMILIA PINTO,200 - VIZINHO,1,4,,,,,,,,,,,,,,-7.242.229.962.721.460,-35.881.874.961.778.500
742,VALDEMIRA EMILIA PINTO,201 - VIZINHO,1,4,,,,,,,,,,,,,,-7.242.247.983.813.280,-35.881.776.977.330.400
743,APRIGIO FERREIRA LEITE,265 - OPOSTO,1,4,,,,,,,,,,,,,,-724.395.596.422.255,-35.882.134.968.414.900
744,APRIGIO FERREIRA LEITE,392,1,4,,,,,,,,,,,,,,-7.245.232.025.161.380,-35.882.132.034.748.700
745,ALDERICO PESSOA DE OLIVEIRA,MERCADO NOVA OLINDA,1,4,,,,,,,,,,,,,,-7.246.636.999.770.990,-358.842.539.973.557
746,ALDERICO PESSOA DE OLIVEIRA,795 - OPOSTO,1,4,,,,,,,,,,,,,,-7.249.334.966.763.850,-35.884.023.997.932.600
747,MANOEL ALVES DE OLIVEIRA,230 - OPOSTO,1,4,,,,,,,,,,,,,,-72.504.429.705.441,-35.884.131.034.836.100
748,MANOEL PAULINO,155 - OPOSTO,1,4,,,,,,,,,,,,,,-725.235.496.647.656,-35.885.352.026.671.100
749,VINTE E QUATRO DE MAIO,1673 - OPOSTO,1,4,,,,,,,,,,,,,,-7.252.971.958.369.010,-35.885.775.983.333.500
751,VINTE E QUATRO DE MAIO,SO TURBINAS - OPOSTO,1,4,,,,,,,,,,,,,,-7.255.810.992.792.240,-35.885.697.025.805.700
752,SEVERINO GONCALVES DE MENEZES,118,1,4,,,,,,,,,,,,,,-7.255.844.017.490.740,-35.884.861.014.783.300
753,JOAO WALLIG,AMERICAN FLEX,1,4,,,,,,,,,,,,,,-7.257.115.971.297.020,-3.588.399.600.237.600
754,JOAO WALLIG,TESS,1,4,,,,,,,,,,,,,,-7.256.604.004.651.300,-35.879.541.020.840.400
756,VINTE E QUATRO DE MAIO,1879,1,4,,,,,,,,,,,,,,-7.254.385.985.434.050,-35.885.698.031.634.000
757,MANOEL PAULINO,275,1,4,,,,,,,,,,,,,,-725.192.598.067.224,-35.885.357.977.822.400
758,MANOEL ALVES DE OLIVEIRA,98,1,4,,,,,,,,,,,,,,-7.250.823.006.033.890,-35.885.422.015.562.600
762,APRIGIO FERREIRA LEITE,265D,1,4,,,,,,,,,,,,,,-724.365.396.425.128,-35.882.026.003.673.600
763,LUIZA BEZERRA MOTTA,666,1,4,,,,,,,,,,,,,,-7.238.247.971.981.760,-35.881.915.027.275.600
764,LUIZA BEZERRA MOTTA,MOTIVA,1,4,,,,,,,,,,,,,SIM,-7.238.413.011.655.210,-35.882.294.978.946.400
796,LUIZA BEZERRA MOTTA,FUNDACAO SUELLEN CAROLINE,1,4,,,,,,,,,,,,,,-7.238.135.989.755.390,-35.880.064.973.607.600
797,MANOEL CARDOSO PALHANO,FACISA,1,4,,,,,,,,,,,,,SIM,-7.249.601.008.370.510,-35.870.127.975.940.700
798,MARIA DA GUIA COSTA FIGUEIREDO,101,1,4,,,,,,,,,,,,,,-7.248.500.967.398.280,-35.870.216.991.752.300
802,CHILE,123,1,4,,,,,,,,,,,,,,-7.244.587.959.721.680,-35.874.795.019.626.600
421,TAVARES CAVALCANTE,454 - OPOSTO,7,9,910,92,333,505,3,555,,,,,,,,-7.217.519.022.524.350,-35.877.950.973.808.700
